20260530175641,10.0.0.23,50033,192.168.70.135,5001,1,0.0-1.0,1310780,10486240
20260530175642,10.0.0.23,50033,192.168.70.135,5001,1,1.0-2.0,1703936,13631488
20260530175643,10.0.0.23,50033,192.168.70.135,5001,1,2.0-3.0,3014656,24117248
20260530175644,10.0.0.23,50033,192.168.70.135,5001,1,3.0-4.0,3014656,24117248
20260530175645,10.0.0.23,50033,192.168.70.135,5001,1,4.0-5.0,3014656,24117248
20260530175646,10.0.0.23,50033,192.168.70.135,5001,1,5.0-6.0,3801088,30408704
20260530175647,10.0.0.23,50033,192.168.70.135,5001,1,6.0-7.0,2707520,21660160
20260530175648,10.0.0.23,50033,192.168.70.135,5001,1,7.0-8.0,2737472,21899776
20260530175649,10.0.0.23,50033,192.168.70.135,5001,1,8.0-9.0,2540488,20323904
20260530175650,10.0.0.23,50033,192.168.70.135,5001,1,9.0-10.0,2606400,20851200
20260530175651,10.0.0.23,50033,192.168.70.135,5001,1,10.0-11.0,2671560,21372480
20260530175652,10.0.0.23,50033,192.168.70.135,5001,1,11.0-12.0,2606400,20851200
20260530175653,10.0.0.23,50033,192.168.70.135,5001,1,12.0-13.0,2606400,20851200
20260530175654,10.0.0.23,50033,192.168.70.135,5001,1,13.0-14.0,2737472,21899776
20260530175655,10.0.0.23,50033,192.168.70.135,5001,1,14.0-15.0,2540488,20323904
20260530175656,10.0.0.23,50033,192.168.70.135,5001,1,15.0-16.0,2606400,20851200
20260530175657,10.0.0.23,50033,192.168.70.135,5001,1,16.0-17.0,2579168,20633344
20260530175658,10.0.0.23,50033,192.168.70.135,5001,1,17.0-18.0,2359296,18874368
20260530175659,10.0.0.23,50033,192.168.70.135,5001,1,18.0-19.0,2490368,19922944
20260530175700,10.0.0.23,50033,192.168.70.135,5001,1,19.0-20.0,1115264,8922112
20260530175701,10.0.0.23,50033,192.168.70.135,5001,1,20.0-21.0,4376624,35012992
20260530175702,10.0.0.23,50033,192.168.70.135,5001,1,21.0-22.0,2154792,17238336
20260530175703,10.0.0.23,50033,192.168.70.135,5001,1,22.0-23.0,2661256,21290048
20260530175704,10.0.0.23,50033,192.168.70.135,5001,1,23.0-24.0,2671560,21372480
20260530175705,10.0.0.23,50033,192.168.70.135,5001,1,24.0-25.0,2606400,20851200
20260530175706,10.0.0.23,50033,192.168.70.135,5001,1,25.0-26.0,2671560,21372480
20260530175707,10.0.0.23,50033,192.168.70.135,5001,1,26.0-27.0,2671560,21372480
20260530175708,10.0.0.23,50033,192.168.70.135,5001,1,27.0-28.0,2737472,21899776
20260530175709,10.0.0.23,50033,192.168.70.135,5001,1,28.0-29.0,2671560,21372480
20260530175710,10.0.0.23,50033,192.168.70.135,5001,1,29.0-30.0,2671560,21372480
20260530175711,10.0.0.23,50033,192.168.70.135,5001,1,30.0-31.0,2671560,21372480
20260530175712,10.0.0.23,50033,192.168.70.135,5001,1,31.0-32.0,2605648,20845184
20260530175713,10.0.0.23,50033,192.168.70.135,5001,1,32.0-33.0,2671560,21372480
20260530175714,10.0.0.23,50033,192.168.70.135,5001,1,33.0-34.0,2671560,21372480
20260530175715,10.0.0.23,50033,192.168.70.135,5001,1,34.0-35.0,2674456,21395648
20260530175716,10.0.0.23,50033,192.168.70.135,5001,1,35.0-36.0,2782360,22258880
20260530175717,10.0.0.23,50033,192.168.70.135,5001,1,36.0-37.0,2646944,21175552
20260530175718,10.0.0.23,50033,192.168.70.135,5001,1,37.0-38.0,2664320,21314560
20260530175719,10.0.0.23,50033,192.168.70.135,5001,1,38.0-39.0,2666520,21332160
20260530175720,10.0.0.23,50033,192.168.70.135,5001,1,39.0-40.0,2490368,19922944
20260530175721,10.0.0.23,50033,192.168.70.135,5001,1,40.0-41.0,2621440,20971520
20260530175722,10.0.0.23,50033,192.168.70.135,5001,1,41.0-42.0,2359296,18874368
20260530175723,10.0.0.23,50033,192.168.70.135,5001,1,42.0-43.0,2359296,18874368
20260530175724,10.0.0.23,50033,192.168.70.135,5001,1,43.0-44.0,3538944,28311552
20260530175725,10.0.0.23,50033,192.168.70.135,5001,1,44.0-45.0,2490368,19922944
20260530175726,10.0.0.23,50033,192.168.70.135,5001,1,45.0-46.0,2905024,23240192
20260530175727,10.0.0.23,50033,192.168.70.135,5001,1,46.0-47.0,2828032,22624256
20260530175728,10.0.0.23,50033,192.168.70.135,5001,1,47.0-48.0,1070600,8564800
20260530175729,10.0.0.23,50033,192.168.70.135,5001,1,48.0-49.0,3861096,30888768
20260530175730,10.0.0.23,50033,192.168.70.135,5001,1,49.0-50.0,888984,7111872
20260530175731,10.0.0.23,50033,192.168.70.135,5001,1,50.0-51.0,4292904,34343232
20260530175732,10.0.0.23,50033,192.168.70.135,5001,1,51.0-52.0,2482096,19856768
20260530175733,10.0.0.23,50033,192.168.70.135,5001,1,52.0-53.0,2781384,22251072
20260530175734,10.0.0.23,50033,192.168.70.135,5001,1,53.0-54.0,2540488,20323904
20260530175735,10.0.0.23,50033,192.168.70.135,5001,1,54.0-55.0,2671560,21372480
20260530175736,10.0.0.23,50033,192.168.70.135,5001,1,55.0-56.0,2671560,21372480
20260530175737,10.0.0.23,50033,192.168.70.135,5001,1,56.0-57.0,2671560,21372480
20260530175738,10.0.0.23,50033,192.168.70.135,5001,1,57.0-58.0,2802632,22421056
20260530175739,10.0.0.23,50033,192.168.70.135,5001,1,58.0-59.0,2671560,21372480
20260530175740,10.0.0.23,50033,192.168.70.135,5001,1,59.0-60.0,2671560,21372480
20260530175740,10.0.0.23,50033,192.168.70.135,5001,1,60.0-61.2,57640,370574
20260530175740,10.0.0.23,50033,192.168.70.135,5001,1,0.0-61.2,158442132,20696395
