20260530175911,10.0.0.24,57810,192.168.70.135,5001,1,0.0-1.0,1312710,10501680,0.000,0,893,0.000,0
20260530175912,10.0.0.24,57810,192.168.70.135,5001,1,1.0-2.0,1309770,10478160,0.000,0,891,0.000,0
20260530175913,10.0.0.24,57810,192.168.70.135,5001,1,2.0-3.0,1311240,10489920,0.000,0,892,0.000,0
20260530175914,10.0.0.24,57810,192.168.70.135,5001,1,3.0-4.0,1309770,10478160,0.000,0,891,0.000,0
20260530175915,10.0.0.24,57810,192.168.70.135,5001,1,4.0-5.0,1311240,10489920,0.000,0,892,0.000,0
20260530175916,10.0.0.24,57810,192.168.70.135,5001,1,5.0-6.0,1311240,10489920,0.000,0,892,0.000,0
20260530175917,10.0.0.24,57810,192.168.70.135,5001,1,6.0-7.0,1309770,10478160,0.000,0,891,0.000,0
20260530175918,10.0.0.24,57810,192.168.70.135,5001,1,7.0-8.0,1309770,10478160,0.000,0,891,0.000,0
20260530175919,10.0.0.24,57810,192.168.70.135,5001,1,8.0-9.0,1311240,10489920,0.000,0,892,0.000,0
20260530175920,10.0.0.24,57810,192.168.70.135,5001,1,9.0-10.0,1309770,10478160,0.000,0,891,0.000,0
20260530175921,10.0.0.24,57810,192.168.70.135,5001,1,10.0-11.0,1314180,10513440,0.000,0,894,0.000,0
20260530175922,10.0.0.24,57810,192.168.70.135,5001,1,11.0-12.0,1309770,10478160,0.000,0,891,0.000,0
20260530175923,10.0.0.24,57810,192.168.70.135,5001,1,12.0-13.0,1311240,10489920,0.000,0,892,0.000,0
20260530175924,10.0.0.24,57810,192.168.70.135,5001,1,13.0-14.0,1309770,10478160,0.000,0,891,0.000,0
20260530175925,10.0.0.24,57810,192.168.70.135,5001,1,14.0-15.0,1311240,10489920,0.000,0,892,0.000,0
20260530175926,10.0.0.24,57810,192.168.70.135,5001,1,15.0-16.0,1311240,10489920,0.000,0,892,0.000,0
20260530175927,10.0.0.24,57810,192.168.70.135,5001,1,16.0-17.0,1309770,10478160,0.000,0,891,0.000,0
20260530175928,10.0.0.24,57810,192.168.70.135,5001,1,17.0-18.0,1311240,10489920,0.000,0,892,0.000,0
20260530175929,10.0.0.24,57810,192.168.70.135,5001,1,18.0-19.0,1311240,10489920,0.000,0,892,0.000,0
20260530175930,10.0.0.24,57810,192.168.70.135,5001,1,19.0-20.0,1309770,10478160,0.000,0,891,0.000,0
20260530175931,10.0.0.24,57810,192.168.70.135,5001,1,20.0-21.0,1311240,10489920,0.000,0,892,0.000,0
20260530175932,10.0.0.24,57810,192.168.70.135,5001,1,21.0-22.0,1311240,10489920,0.000,0,892,0.000,0
20260530175933,10.0.0.24,57810,192.168.70.135,5001,1,22.0-23.0,1309770,10478160,0.000,0,891,0.000,0
20260530175934,10.0.0.24,57810,192.168.70.135,5001,1,23.0-24.0,1311240,10489920,0.000,0,892,0.000,0
20260530175935,10.0.0.24,57810,192.168.70.135,5001,1,24.0-25.0,1309770,10478160,0.000,0,891,0.000,0
20260530175936,10.0.0.24,57810,192.168.70.135,5001,1,25.0-26.0,1311240,10489920,0.000,0,892,0.000,0
20260530175937,10.0.0.24,57810,192.168.70.135,5001,1,26.0-27.0,1309770,10478160,0.000,0,891,0.000,0
20260530175938,10.0.0.24,57810,192.168.70.135,5001,1,27.0-28.0,1311240,10489920,0.000,0,892,0.000,0
20260530175939,10.0.0.24,57810,192.168.70.135,5001,1,28.0-29.0,1311240,10489920,0.000,0,892,0.000,0
20260530175940,10.0.0.24,57810,192.168.70.135,5001,1,29.0-30.0,1311240,10489920,0.000,0,892,0.000,0
20260530175941,10.0.0.24,57810,192.168.70.135,5001,1,30.0-31.0,1309770,10478160,0.000,0,891,0.000,0
20260530175942,10.0.0.24,57810,192.168.70.135,5001,1,31.0-32.0,1311240,10489920,0.000,0,892,0.000,0
20260530175943,10.0.0.24,57810,192.168.70.135,5001,1,32.0-33.0,1309770,10478160,0.000,0,891,0.000,0
20260530175944,10.0.0.24,57810,192.168.70.135,5001,1,33.0-34.0,1311240,10489920,0.000,0,892,0.000,0
20260530175945,10.0.0.24,57810,192.168.70.135,5001,1,34.0-35.0,1311240,10489920,0.000,0,892,0.000,0
20260530175946,10.0.0.24,57810,192.168.70.135,5001,1,35.0-36.0,1311240,10489920,0.000,0,892,0.000,0
20260530175947,10.0.0.24,57810,192.168.70.135,5001,1,36.0-37.0,1309770,10478160,0.000,0,891,0.000,0
20260530175948,10.0.0.24,57810,192.168.70.135,5001,1,37.0-38.0,1311240,10489920,0.000,0,892,0.000,0
20260530175949,10.0.0.24,57810,192.168.70.135,5001,1,38.0-39.0,1309770,10478160,0.000,0,891,0.000,0
20260530175950,10.0.0.24,57810,192.168.70.135,5001,1,39.0-40.0,1311240,10489920,0.000,0,892,0.000,0
20260530175951,10.0.0.24,57810,192.168.70.135,5001,1,40.0-41.0,1311240,10489920,0.000,0,892,0.000,0
20260530175952,10.0.0.24,57810,192.168.70.135,5001,1,41.0-42.0,1311240,10489920,0.000,0,892,0.000,0
20260530175953,10.0.0.24,57810,192.168.70.135,5001,1,42.0-43.0,1309770,10478160,0.000,0,891,0.000,0
20260530175954,10.0.0.24,57810,192.168.70.135,5001,1,43.0-44.0,1308300,10466400,0.000,0,890,0.000,0
20260530175955,10.0.0.24,57810,192.168.70.135,5001,1,44.0-45.0,1314180,10513440,0.000,0,894,0.000,0
20260530175956,10.0.0.24,57810,192.168.70.135,5001,1,45.0-46.0,1308300,10466400,0.000,0,890,0.000,0
20260530175957,10.0.0.24,57810,192.168.70.135,5001,1,46.0-47.0,1311240,10489920,0.000,0,892,0.000,0
20260530175958,10.0.0.24,57810,192.168.70.135,5001,1,47.0-48.0,1311240,10489920,0.000,0,892,0.000,0
20260530175959,10.0.0.24,57810,192.168.70.135,5001,1,48.0-49.0,1309770,10478160,0.000,0,891,0.000,0
20260530180000,10.0.0.24,57810,192.168.70.135,5001,1,49.0-50.0,1312710,10501680,0.000,0,893,0.000,0
20260530180001,10.0.0.24,57810,192.168.70.135,5001,1,50.0-51.0,1309770,10478160,0.000,0,891,0.000,0
20260530180002,10.0.0.24,57810,192.168.70.135,5001,1,51.0-52.0,1311240,10489920,0.000,0,892,0.000,0
20260530180003,10.0.0.24,57810,192.168.70.135,5001,1,52.0-53.0,1311240,10489920,0.000,0,892,0.000,0
20260530180004,10.0.0.24,57810,192.168.70.135,5001,1,53.0-54.0,1309770,10478160,0.000,0,891,0.000,0
20260530180005,10.0.0.24,57810,192.168.70.135,5001,1,54.0-55.0,1311240,10489920,0.000,0,892,0.000,0
20260530180006,10.0.0.24,57810,192.168.70.135,5001,1,55.0-56.0,1308300,10466400,0.000,0,890,0.000,0
20260530180007,10.0.0.24,57810,192.168.70.135,5001,1,56.0-57.0,1312710,10501680,0.000,0,893,0.000,0
20260530180008,10.0.0.24,57810,192.168.70.135,5001,1,57.0-58.0,1311240,10489920,0.000,0,892,0.000,0
20260530180009,10.0.0.24,57810,192.168.70.135,5001,1,58.0-59.0,1309770,10478160,0.000,0,891,0.000,0
