[sudo] password for mobile: 
20260531215310,192.168.70.135,46375,10.0.0.14,5001,1,0.0-1.0,2752572,22020576
20260531215311,192.168.70.135,46375,10.0.0.14,5001,1,1.0-2.0,4063232,32505856
20260531215312,192.168.70.135,46375,10.0.0.14,5001,1,2.0-3.0,4325376,34603008
20260531215313,192.168.70.135,46375,10.0.0.14,5001,1,3.0-4.0,3932160,31457280
20260531215314,192.168.70.135,46375,10.0.0.14,5001,1,4.0-5.0,3932160,31457280
20260531215315,192.168.70.135,46375,10.0.0.14,5001,1,5.0-6.0,3670016,29360128
20260531215316,192.168.70.135,46375,10.0.0.14,5001,1,6.0-7.0,2883584,23068672
20260531215317,192.168.70.135,46375,10.0.0.14,5001,1,7.0-8.0,3932160,31457280
20260531215318,192.168.70.135,46375,10.0.0.14,5001,1,8.0-9.0,3801088,30408704
20260531215319,192.168.70.135,46375,10.0.0.14,5001,1,9.0-10.0,3670016,29360128
20260531215320,192.168.70.135,46375,10.0.0.14,5001,1,10.0-11.0,3801088,30408704
20260531215321,192.168.70.135,46375,10.0.0.14,5001,1,11.0-12.0,3670016,29360128
20260531215322,192.168.70.135,46375,10.0.0.14,5001,1,12.0-13.0,3801088,30408704
20260531215323,192.168.70.135,46375,10.0.0.14,5001,1,13.0-14.0,3801088,30408704
20260531215324,192.168.70.135,46375,10.0.0.14,5001,1,14.0-15.0,4849664,38797312
20260531215325,192.168.70.135,46375,10.0.0.14,5001,1,15.0-16.0,3670016,29360128
20260531215326,192.168.70.135,46375,10.0.0.14,5001,1,16.0-17.0,3670016,29360128
20260531215327,192.168.70.135,46375,10.0.0.14,5001,1,17.0-18.0,3801088,30408704
20260531215328,192.168.70.135,46375,10.0.0.14,5001,1,18.0-19.0,3932160,31457280
20260531215329,192.168.70.135,46375,10.0.0.14,5001,1,19.0-20.0,2883584,23068672
20260531215330,192.168.70.135,46375,10.0.0.14,5001,1,20.0-21.0,3932160,31457280
20260531215331,192.168.70.135,46375,10.0.0.14,5001,1,21.0-22.0,3670016,29360128
20260531215332,192.168.70.135,46375,10.0.0.14,5001,1,22.0-23.0,3014656,24117248
20260531215333,192.168.70.135,46375,10.0.0.14,5001,1,23.0-24.0,4063232,32505856
20260531215334,192.168.70.135,46375,10.0.0.14,5001,1,24.0-25.0,2883584,23068672
20260531215335,192.168.70.135,46375,10.0.0.14,5001,1,25.0-26.0,3932160,31457280
20260531215336,192.168.70.135,46375,10.0.0.14,5001,1,26.0-27.0,3670016,29360128
20260531215337,192.168.70.135,46375,10.0.0.14,5001,1,27.0-28.0,3801088,30408704
20260531215338,192.168.70.135,46375,10.0.0.14,5001,1,28.0-29.0,3801088,30408704
20260531215339,192.168.70.135,46375,10.0.0.14,5001,1,29.0-30.0,3932160,31457280
20260531215340,192.168.70.135,46375,10.0.0.14,5001,1,30.0-31.0,4063232,32505856
20260531215341,192.168.70.135,46375,10.0.0.14,5001,1,31.0-32.0,2752512,22020096
20260531215342,192.168.70.135,46375,10.0.0.14,5001,1,32.0-33.0,3801088,30408704
20260531215343,192.168.70.135,46375,10.0.0.14,5001,1,33.0-34.0,4456448,35651584
20260531215344,192.168.70.135,46375,10.0.0.14,5001,1,34.0-35.0,3932160,31457280
20260531215345,192.168.70.135,46375,10.0.0.14,5001,1,35.0-36.0,3801088,30408704
20260531215346,192.168.70.135,46375,10.0.0.14,5001,1,36.0-37.0,3014656,24117248
20260531215347,192.168.70.135,46375,10.0.0.14,5001,1,37.0-38.0,3670016,29360128
20260531215348,192.168.70.135,46375,10.0.0.14,5001,1,38.0-39.0,3801088,30408704
20260531215349,192.168.70.135,46375,10.0.0.14,5001,1,39.0-40.0,3801088,30408704
20260531215350,192.168.70.135,46375,10.0.0.14,5001,1,40.0-41.0,3670016,29360128
20260531215351,192.168.70.135,46375,10.0.0.14,5001,1,41.0-42.0,3801088,30408704
20260531215352,192.168.70.135,46375,10.0.0.14,5001,1,42.0-43.0,3014656,24117248
20260531215353,192.168.70.135,46375,10.0.0.14,5001,1,43.0-44.0,3932160,31457280
20260531215354,192.168.70.135,46375,10.0.0.14,5001,1,44.0-45.0,3932160,31457280
20260531215355,192.168.70.135,46375,10.0.0.14,5001,1,45.0-46.0,3014656,24117248
20260531215356,192.168.70.135,46375,10.0.0.14,5001,1,46.0-47.0,4718592,37748736
20260531215357,192.168.70.135,46375,10.0.0.14,5001,1,47.0-48.0,3932160,31457280
20260531215358,192.168.70.135,46375,10.0.0.14,5001,1,48.0-49.0,3670016,29360128
20260531215359,192.168.70.135,46375,10.0.0.14,5001,1,49.0-50.0,3932160,31457280
20260531215400,192.168.70.135,46375,10.0.0.14,5001,1,50.0-51.0,2883584,23068672
20260531215401,192.168.70.135,46375,10.0.0.14,5001,1,51.0-52.0,2883584,23068672
20260531215402,192.168.70.135,46375,10.0.0.14,5001,1,52.0-53.0,3801088,30408704
20260531215403,192.168.70.135,46375,10.0.0.14,5001,1,53.0-54.0,2883584,23068672
20260531215404,192.168.70.135,46375,10.0.0.14,5001,1,54.0-55.0,3932160,31457280
20260531215405,192.168.70.135,46375,10.0.0.14,5001,1,55.0-56.0,3014656,24117248
20260531215406,192.168.70.135,46375,10.0.0.14,5001,1,56.0-57.0,3801088,30408704
20260531215407,192.168.70.135,46375,10.0.0.14,5001,1,57.0-58.0,3801088,30408704
20260531215408,192.168.70.135,46375,10.0.0.14,5001,1,58.0-59.0,4849664,38797312
20260531215409,192.168.70.135,46375,10.0.0.14,5001,1,59.0-60.0,3014656,24117248
20260531215409,192.168.70.135,46375,10.0.0.14,5001,1,60.0-60.7,131072,1586376
20260531215409,192.168.70.135,46375,10.0.0.14,5001,1,0.0-60.7,221249596,29178502
